Sl. No.,State Code,State/UT,Region,Financial_Year,GST_Collection
1,1,Jammu and Kashmir,North,2020-03-21,3648
1,1,Jammu and Kashmir,North,2021-03-30,4692
1,1,Jammu and Kashmir,North,2022-03-30,5246
1,1,Jammu and Kashmir,North,2023-03-30,6704
1,1,Jammu and Kashmir,North,2024-03-30,4275
2,2,Himachal Pradesh,North,2020-03-21,7055
2,2,Himachal Pradesh,North,2021-03-30,8023
2,2,Himachal Pradesh,North,2022-03-30,8778
2,2,Himachal Pradesh,North,2023-03-30,9956
2,2,Himachal Pradesh,North,2024-03-30,6144
3,3,Punjab,North,2020-03-21,13913
3,3,Punjab,North,2021-03-30,18406
3,3,Punjab,North,2022-03-30,20949
3,3,Punjab,North,2023-03-30,24061
3,3,Punjab,North,2024-03-30,15441
4,4,Chandigarh,North,2020-03-21,1651
4,4,Chandigarh,North,2021-03-30,1979
4,4,Chandigarh,North,2022-03-30,2365
4,4,Chandigarh,North,2023-03-30,2771
4,4,Chandigarh,North,2024-03-30,1691
5,5,Uttarakhand,North,2020-03-21,12339
5,5,Uttarakhand,North,2021-03-30,13680
5,5,Uttarakhand,North,2022-03-30,16845
5,5,Uttarakhand,North,2023-03-30,19231
5,5,Uttarakhand,North,2024-03-30,12247
6,6,Haryana,North,2020-03-21,54890
6,6,Haryana,North,2021-03-30,68142
6,6,Haryana,North,2022-03-30,86668
6,6,Haryana,North,2023-03-30,102914
6,6,Haryana,North,2024-03-30,68202
7,7,Delhi,North,2020-03-21,36568
7,7,Delhi,North,2021-03-30,46253
7,7,Delhi,North,2022-03-30,55843
7,7,Delhi,North,2023-03-30,66445
7,7,Delhi,North,2024-03-30,46669
8,8,Rajasthan,West,2020-03-21,31797
8,8,Rajasthan,West,2021-03-30,38480
8,8,Rajasthan,West,2022-03-30,45458
8,8,Rajasthan,West,2023-03-30,50174
8,8,Rajasthan,West,2024-03-30,30813
9,9,Uttar Pradesh,North,2020-03-21,59721
9,9,Uttar Pradesh,North,2021-03-30,73865
9,9,Uttar Pradesh,North,2022-03-30,87970
9,9,Uttar Pradesh,North,2023-03-30,101693
9,9,Uttar Pradesh,North,2024-03-30,66036
10,10,Bihar,East,2020-03-21,11638
10,10,Bihar,East,2021-03-30,13534
10,10,Bihar,East,2022-03-30,16548
10,10,Bihar,East,2023-03-30,18021
10,10,Bihar,East,2024-03-30,11199
11,11,Sikkim,North-East,2020-03-21,2266
11,11,Sikkim,North-East,2021-03-30,2811
11,11,Sikkim,North-East,2022-03-30,3156
11,11,Sikkim,North-East,2023-03-30,3707
11,11,Sikkim,North-East,2024-03-30,2340
12,12,Arunachal Pradesh,North-East,2020-03-21,651
12,12,Arunachal Pradesh,North-East,2021-03-30,710
12,12,Arunachal Pradesh,North-East,2022-03-30,1023
12,12,Arunachal Pradesh,North-East,2023-03-30,1308
12,12,Arunachal Pradesh,North-East,2024-03-30,694
13,13,Nagaland,North-East,2020-03-21,389
13,13,Nagaland,North-East,2021-03-30,420
13,13,Nagaland,North-East,2022-03-30,566
13,13,Nagaland,North-East,2023-03-30,711
13,13,Nagaland,North-East,2024-03-30,374
14,14,Manipur,North-East,2020-03-21,392
14,14,Manipur,North-East,2021-03-30,551
14,14,Manipur,North-East,2022-03-30,615
14,14,Manipur,North-East,2023-03-30,670
14,14,Manipur,North-East,2024-03-30,452
15,15,Mizoram,North-East,2020-03-21,257
15,15,Mizoram,North-East,2021-03-30,316
